GYEAR,PCODE,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD,NAME,AGE_VA,OBP,OPS,BARREL,BARREL%
2018,60100,70,169,152,0.243,37,3,63,0.414,1,12,36,0,4,5,백창수,30,0.313609467,0.727609467,6.0,0.03947
2018,60343,83,174,162,0.216,35,8,63,0.389,0,8,49,0,3,3,이해창,31,0.265895954,0.654895954,2.0,0.01235
2018,60523,91,194,174,0.305,53,7,86,0.494,3,16,39,1,1,4,정훈,30,0.360824742,0.854824742,8.0,0.04598
2018,60558,128,374,342,0.254,87,12,144,0.421,1,24,92,0,4,7,오태곤,26,0.309973046,0.730973046,8.0,0.02339
2018,60566,114,204,187,0.251,47,0,49,0.262,0,8,15,0,2,8,이상호,29,0.289340102,0.551340102,,
2018,60605,56,87,76,0.263,20,1,29,0.382,0,8,12,0,0,2,홍재호,31,0.333333333,0.715333333,1.0,0.01316
2018,61102,132,465,425,0.296,126,19,216,0.508,1,28,80,1,9,21,유강남,25,0.352051836,0.860051836,19.0,0.04471
2018,61114,25,41,36,0.222,8,0,11,0.306,0,3,9,0,2,1,김재율,29,0.317073171,0.623073171,2.0,0.05556
2018,61186,112,405,359,0.34,122,2,156,0.435,2,39,48,2,3,11,이천웅,29,0.406947891,0.841947891,4.0,0.01114
2018,61197,61,140,126,0.294,37,4,56,0.444,2,10,30,0,0,6,최영진,30,0.34057971,0.78457971,2.0,0.01587
2018,61204,55,96,83,0.193,16,2,23,0.277,2,9,18,0,0,1,김동한,30,0.265957447,0.542957447,,
2018,61208,111,299,269,0.301,81,2,101,0.375,1,19,44,0,1,8,정진호,29,0.348275862,0.723275862,1.0,0.00372
2018,61353,102,351,330,0.279,92,6,132,0.4,4,15,96,1,1,2,고종욱,29,0.308571429,0.708571429,6.0,0.01818
2018,61404,141,586,513,0.3,154,11,217,0.423,4,54,70,1,10,13,김헌곤,29,0.375215146,0.798215146,3.0,0.00585
2018,61554,59,108,97,0.216,21,3,34,0.351,1,5,30,0,3,6,김민하,29,0.273584906,0.624584906,2.0,0.02062
2018,61591,56,79,74,0.23,17,0,20,0.27,0,1,22,0,1,0,김사훈,31,0.25,0.52,,
2018,61652,22,43,40,0.25,10,1,15,0.375,0,2,7,0,1,4,윤정우,30,0.302325581,0.677325581,,
2018,61700,77,289,245,0.278,68,5,96,0.392,1,38,59,0,4,7,강경학,25,0.381944444,0.773944444,5.0,0.02041
2018,61743,30,50,44,0.136,6,0,6,0.136,1,3,11,0,1,1,오준혁,26,0.204081633,0.340081633,0.0,0.0
2018,61869,96,212,201,0.244,49,3,68,0.338,0,6,45,0,2,2,정진기,25,0.272727273,0.610727273,5.0,0.02488
2018,62016,14,37,33,0.182,6,0,7,0.212,0,2,10,0,1,0,윤병호,29,0.25,0.462,,
2018,62025,77,150,138,0.304,42,5,67,0.486,2,10,33,0,0,3,이원재,29,0.346666667,0.832666667,2.0,0.01449
2018,62164,51,84,69,0.29,20,2,26,0.377,2,12,18,0,1,1,서상우,28,0.392857143,0.769857143,2.0,0.02899
2018,62234,128,280,228,0.268,61,1,71,0.311,2,29,43,0,10,3,류지혁,24,0.371747212,0.682747212,4.0,0.01754
2018,62244,89,194,170,0.282,48,3,69,0.406,1,16,55,0,4,0,박세혁,28,0.356020942,0.762020942,5.0,0.02941
2018,62265,31,58,48,0.271,13,3,26,0.542,2,8,14,0,0,3,유민상,29,0.362068966,0.904068966,3.0,0.0625
